Subdomain,IP,Cloudflare
alumninetwork.rmit.edu.vn,103.253.91.24,FALSE
apps.rmit.edu.vn,103.253.91.29,FALSE
appsdr.rmit.edu.vn,210.245.97.72,FALSE
blackboard.rmit.edu.vn,103.253.91.29,FALSE
careers.rmit.edu.vn,20.225.93.172,FALSE
chame.rmit.edu.vn,192.0.78.153,FALSE
crmdr.rmit.edu.vn,210.245.97.72,FALSE
democlass.rmit.edu.vn,103.253.88.35,FALSE
design.rmit.edu.vn,173.203.204.123,FALSE
emedia.rmit.edu.vn,103.253.91.29,FALSE
emsdr.rmit.edu.vn,210.245.97.72,FALSE
english.rmit.edu.vn,103.253.88.35,FALSE
etal.rmit.edu.vn,173.203.204.123,FALSE
event.rmit.edu.vn,23.236.62.147,FALSE
experienceday.rmit.edu.vn,103.253.91.29,FALSE
findaresearcher.rmit.edu.vn,103.253.91.29,FALSE
helpdesk.rmit.edu.vn,103.253.91.29,FALSE
hress.rmit.edu.vn,103.253.88.47,FALSE
hressdr.rmit.edu.vn,210.245.97.71,FALSE
infosession.rmit.edu.vn,34.117.168.233,FALSE
learninglab.rmit.edu.vn,103.253.91.29,FALSE
library.rmit.edu.vn,103.253.91.29,FALSE
libtutorials.rmit.edu.vn,103.253.88.36,FALSE
lms.rmit.edu.vn,103.253.91.29,FALSE
lyncdiscover.rmit.edu.vn,52.112.192.14,FALSE
master-of-global-trade.rmit.edu.vn,171.244.39.11,FALSE
minio.rmit.edu.vn,103.253.88.40,FALSE
myperformance.rmit.edu.vn,103.253.88.38,FALSE
mytimetable.rmit.edu.vn,13.211.101.219,FALSE
oes.rmit.edu.vn,103.253.91.29,FALSE
oesdr.rmit.edu.vn,210.245.97.72,FALSE
omeka.rmit.edu.vn,103.253.88.36,FALSE
password-assistance.rmit.edu.vn,103.253.91.29,FALSE
pathways.rmit.edu.vn,103.253.88.40,FALSE
pe.rmit.edu.vn,13.224.189.46,FALSE
results-dev.seup.rmit.edu.vn,20.198.133.70,FALSE
results-stg.seup.rmit.edu.vn,20.205.146.0,FALSE
results.seup.rmit.edu.vn,20.195.56.60,FALSE
rivf2020.rmit.edu.vn,192.0.78.12,FALSE
rmitenglishevent.rmit.edu.vn,23.236.62.147,FALSE
rmitlibraryvn.rmit.edu.vn,216.147.220.65,FALSE
sas.rmit.edu.vn,103.253.91.29,FALSE
sbcsprdap81.rmit.edu.vn,103.253.91.28,FALSE
sbcsprdap85.rmit.edu.vn,103.144.84.153,FALSE
sglprdstudlab01.rmit.edu.vn,103.253.91.23,FALSE
sgs-ml-smtp.rmit.edu.vn,103.253.88.4,FALSE
sip.rmit.edu.vn,52.112.196.46,FALSE
srms.rmit.edu.vn,4.193.128.124,FALSE
srms.dev.rmit.edu.vn,13.76.185.95,FALSE
srms.staging.rmit.edu.vn,20.6.1.116,FALSE
ssl-npe.vpn.rmit.edu.vn,103.253.91.100,FALSE
ssl-prd.vpn.rmit.edu.vn,103.253.91.101,FALSE
staffdr.rmit.edu.vn,210.245.97.72,FALSE
studentlab1.rmit.edu.vn,103.253.91.23,FALSE
teachertalks.rmit.edu.vn,23.236.62.147,FALSE
typographyvn.rmit.edu.vn,103.253.88.45,FALSE
vpn.rmit.edu.vn,103.253.88.6,FALSE
www.rmit.edu.vn,18.66.112.23,FALSE
www.event.rmit.edu.vn,34.117.168.233,FALSE
www.infosession.rmit.edu.vn,34.117.168.233,FALSE
www.rmitenglishevent.rmit.edu.vn,34.117.168.233,FALSE
www.teachertalks.rmit.edu.vn,34.117.168.233,FALSE
